segment_id,duration,idle_ratio,accel_ratio,decel_ratio,cruise_ratio,v_mean,v_mean_run,v_max,v_std,a_mean_pos,a_mean_neg,a_max,a_std,v_times_a_max,cluster,工况
306,266.0,0.007518796992481203,0.44360902255639095,0.3082706766917293,0.24436090225563908,40.99812030075188,41.308712121212125,58.9,13.632078634430707,0.5028248587570621,-0.7127371273712737,10.63888888888889,0.9146889300320058,164.31172839506175,2,高速/畅通工况（高速、低怠速比）
307,28.0,0.32142857142857145,0.2857142857142857,0.2857142857142857,0.17857142857142858,3.078571428571429,4.510526315789474,9.5,2.5359356040237104,0.4652777777777778,-0.43055555555555547,2.5,0.5524929757781565,6.597222222222222,0,市区拥堵工况（低速、高怠速比）
308,102.0,0.08823529411764706,0.4803921568627451,0.29411764705882354,0.14705882352941177,20.71078431372549,22.71505376344086,36.5,11.67866251795904,0.3514739229024944,-0.5462962962962962,0.9999999999999996,0.47737538589160544,5.53703703703704,1,城郊过渡工况（中速）
309,177.0,0.12429378531073447,0.3954802259887006,0.3333333333333333,0.15254237288135594,25.570621468926554,29.19741935483871,44.0,13.754302302085925,0.4194444444444445,-0.5178907721280603,1.8611111111111112,0.4819685161297603,5.432098765432095,1,城郊过渡工况（中速）
310,726.0,0.06060606060606061,0.3774104683195592,0.2878787878787879,0.27548209366391185,35.10895316804408,37.374046920821115,61.4,13.64791287711744,0.3484387672343877,-0.4607921318447634,4.527777777777779,0.4967305683616482,58.735339506172856,1,城郊过渡工况（中速）
311,503.0,0.007952286282306162,0.4194831013916501,0.3836978131212724,0.19284294234592445,27.247912524850893,27.465531062124246,60.2,11.970325744345795,0.4677461822011585,-0.5143926309729419,6.750000000000001,0.6325606346631001,84.56250000000001,2,高速/畅通工况（高速、低怠速比）
312,24.0,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.125,4.308333333333333,7.164285714285714,9.2,3.7434294288645122,0.7291666666666665,-0.43749999999999994,1.777777777777778,0.5034589185130357,3.407407407407408,0,市区拥堵工况（低速、高怠速比）
313,31.0,0.41935483870967744,0.3870967741935484,0.1935483870967742,0.03225806451612903,4.2387096774193544,7.300000000000001,12.2,4.277599373431758,0.2962962962962962,-0.5185185185185185,0.6944444444444444,0.34223995146073033,1.0910493827160492,0,市区拥堵工况（低速、高怠速比）
314,42.0,0.14285714285714285,0.2619047619047619,0.35714285714285715,0.2619047619047619,10.085714285714285,11.766666666666667,19.1,5.567361152654068,0.5580808080808081,-0.3981481481481482,1.8888888888888888,0.5015390914031342,4.046296296296296,1,城郊过渡工况（中速）
315,33.0,0.7272727272727273,0.15151515151515152,0.18181818181818182,0.0,2.5484848484848484,9.288888888888888,15.0,4.762741839059514,0.8333333333333334,-0.7870370370370372,2.138888888888889,0.5621169012513147,4.8125,0,市区拥堵工况（低速、高怠速比）
316,101.0,0.12871287128712872,0.24752475247524752,0.37623762376237624,0.25742574257425743,26.0039603960396,29.84545454545454,41.9,12.415137046348688,0.7622222222222225,-0.49780701754385975,8.694444444444445,0.9971296492005378,75.59336419753087,2,高速/畅通工况（高速、低怠速比）
317,115.0,0.46956521739130436,0.21739130434782608,0.19130434782608696,0.13043478260869565,14.00695652173913,26.40655737704918,37.1,14.59210460571732,0.47444444444444445,-0.4722222222222223,1.583333333333333,0.3822787151190166,5.68518518518518,1,城郊过渡工况（中速）
318,54.0,0.18518518518518517,0.3333333333333333,0.4074074074074074,0.09259259259259259,7.1574074074074066,8.700000000000001,17.3,5.665673176042094,0.49537037037037046,-0.45833333333333326,1.6666666666666667,0.5625662663882087,6.060185185185184,1,城郊过渡工况（中速）
